log_id,course_id,member_id,course_level,average_slope
117,23,1,5,20
118,24,10,1,3
119,2,4,1,5
120,6,11,2,12
121,5,7,2,7
122,28,14,5,25
123,24,10,1,3
124,29,7,3,15
125,31,2,3,15
126,29,13,3,15
127,24,9,1,3
128,23,13,5,20
129,24,10,1,3
130,23,8,5,20
131,3,1,1,8
132,23,2,5,20
133,28,8,5,25
134,30,4,3,15
135,3,13,1,8
136,2,10,1,5
137,24,2,1,3
138,27,10,4,18
139,1,2,2,10
140,31,7,3,15
141,4,4,3,15
142,29,4,3,15
143,27,4,4,18
144,24,9,1,3
145,4,5,3,15
146,3,6,1,8
147,3,6,1,8
148,1,8,2,10
149,30,5,3,15
150,31,14,3,15
151,31,14,3,15
152,5,6,2,7
153,2,5,1,5
154,23,8,5,20
155,24,9,1,3
156,24,13,1,3
157,24,6,1,3
158,3,5,1,8
159,4,2,3,15
160,6,2,2,12
161,23,9,5,20
162,23,1,5,20
163,3,4,1,8
164,29,14,3,15
165,24,5,1,3
166,5,14,2,7
167,24,4,1,3
168,29,9,3,15
169,28,1,5,25
170,1,5,2,10
171,2,7,1,5
172,29,13,3,15
173,3,1,1,8
174,6,11,2,12
175,29,8,3,15
176,23,11,5,20
177,6,8,2,12
178,5,9,2,7
179,27,10,4,18
180,27,2,4,18
181,4,7,3,15
182,2,13,1,5
183,29,4,3,15
184,6,11,2,12
185,24,9,1,3
186,4,10,3,15
187,30,2,3,15
188,29,2,3,15
189,1,9,2,10
190,29,6,3,15
191,23,8,5,20
192,2,2,1,5
193,29,4,3,15
194,5,14,2,7
195,2,6,1,5
196,23,6,5,20
197,24,11,1,3
198,4,9,3,15
199,31,10,3,15
200,24,11,1,3
201,3,14,1,8
202,28,11,5,25
203,2,9,1,5
204,2,5,1,5
205,6,5,2,12
206,3,11,1,8
207,4,10,3,15
208,29,10,3,15
209,24,11,1,3
210,24,4,1,3
211,24,13,1,3
212,1,4,2,10
213,6,9,2,12
214,2,1,1,5
215,24,10,1,3
216,24,14,1,3
217,1,8,2,10
218,3,10,1,8
219,2,1,1,5
220,27,11,4,18
221,2,11,1,5
222,30,9,3,15
223,29,9,3,15
224,24,9,1,3
225,27,9,4,18
226,4,1,3,15
227,1,8,2,10
228,23,13,5,20
229,29,6,3,15
230,27,9,4,18
231,24,2,1,3
232,29,5,3,15
233,23,9,5,20
234,27,4,4,18
235,2,8,1,5
236,27,10,4,18
237,3,13,1,8
238,2,14,1,5
239,29,13,3,15
240,30,8,3,15
241,24,13,1,3
242,3,10,1,8
243,31,1,3,15
244,2,2,1,5
245,31,14,3,15
246,30,4,3,15
247,31,14,3,15
248,24,7,1,3
249,1,2,2,10
250,31,1,3,15
251,31,1,3,15
252,4,8,3,15
253,4,8,3,15
254,23,14,5,20
255,4,9,3,15
256,4,2,3,15
257,28,4,5,25
258,27,11,4,18
259,24,6,1,3
260,28,13,5,25
261,28,2,5,25
262,6,1,2,12
263,6,13,2,12
264,2,1,1,5
265,6,11,2,12
266,2,2,1,5
267,29,1,3,15
268,2,14,1,5
269,24,6,1,3
270,6,6,2,12
271,29,1,3,15
272,29,13,3,15
273,31,5,3,15
274,31,10,3,15
275,27,11,4,18
276,23,13,5,20
277,23,8,5,20
278,3,13,1,8
279,6,6,2,12
280,24,7,1,3
281,30,2,3,15
282,2,10,1,5
283,23,1,5,20
284,2,7,1,5
285,28,6,5,25
286,27,1,4,18
287,27,5,4,18
288,5,13,2,7
289,4,13,3,15
290,29,13,3,15
291,28,4,5,25
292,1,4,2,10
293,4,8,3,15
294,3,2,1,8
295,31,2,3,15
296,23,7,5,20
297,29,11,3,15
298,29,4,3,15
299,1,2,2,10
300,30,6,3,15
301,30,11,3,15
302,5,14,2,7
303,27,6,4,18
304,30,11,3,15
305,31,10,3,15
306,1,9,2,10
307,3,2,1,8
308,1,6,2,10
309,31,11,3,15
310,23,7,5,20
311,6,9,2,12
312,6,13,2,12
313,6,7,2,12
314,29,8,3,15
315,29,7,3,15
316,24,4,1,3
317,3,11,1,8
318,29,7,3,15
319,5,14,2,7
320,28,10,5,25
321,1,10,2,10
322,28,9,5,25
323,27,6,4,18
324,2,14,1,5
325,3,2,1,8
326,5,14,2,7
327,31,11,3,15
328,24,1,1,3
329,1,11,2,10
330,3,10,1,8
331,2,10,1,5
332,30,9,3,15
333,31,7,3,15
334,4,9,3,15
335,24,13,1,3
336,23,5,5,20
337,29,10,3,15
338,31,5,3,15
339,29,11,3,15
340,6,4,2,12
341,6,5,2,12
342,3,14,1,8
343,28,8,5,25
344,30,4,3,15
345,31,4,3,15
346,28,1,5,25
347,5,13,2,7
348,27,4,4,18
349,23,9,5,20
350,28,6,5,25
351,2,1,1,5
352,2,10,1,5
353,27,8,4,18
354,24,13,1,3
355,27,9,4,18
356,2,4,1,5
357,4,1,3,15
358,3,6,1,8
359,5,10,2,7
360,4,13,3,15
361,29,1,3,15
362,1,4,2,10
363,31,11,3,15
364,31,14,3,15
365,28,8,5,25
366,31,2,3,15
367,24,8,1,3
368,4,6,3,15
369,2,9,1,5
370,2,10,1,5
371,23,13,5,20
372,27,8,4,18
373,29,6,3,15
374,4,11,3,15
375,3,13,1,8
376,27,11,4,18
377,2,13,1,5
378,5,9,2,7
379,31,4,3,15
380,24,4,1,3
381,24,2,1,3
382,3,9,1,8
383,4,8,3,15
384,6,8,2,12
385,30,7,3,15
386,30,14,3,15
387,5,9,2,7
388,29,10,3,15
389,30,6,3,15
390,3,14,1,8
391,28,13,5,25
392,5,11,2,7
393,3,11,1,8
394,23,13,5,20
395,2,7,1,5
396,4,11,3,15
397,6,5,2,12
398,5,8,2,7
399,5,1,2,7
400,30,13,3,15
401,5,7,2,7
402,23,4,5,20
403,2,14,1,5
404,4,7,3,15
405,23,14,5,20
406,3,8,1,8
407,5,8,2,7
408,5,4,2,7
409,1,11,2,10
410,24,13,1,3
411,3,2,1,8
412,30,8,3,15
413,28,11,5,25
414,29,13,3,15
415,31,10,3,15
416,27,14,4,18
417,5,7,2,7
418,23,11,5,20
419,5,13,2,7
420,24,5,1,3
421,2,11,1,5
422,24,8,1,3
423,4,4,3,15
424,24,5,1,3
425,1,10,2,10
426,30,11,3,15
427,1,7,2,10
428,30,9,3,15
429,30,10,3,15
430,3,4,1,8
431,23,9,5,20
432,5,11,2,7
433,28,14,5,25
434,24,5,1,3
435,5,6,2,7
436,29,8,3,15
437,6,1,2,12
438,6,6,2,12
439,28,11,5,25
440,28,14,5,25
441,24,9,1,3
442,23,1,5,20
443,5,2,2,7
444,1,10,2,10
445,2,8,1,5
446,30,8,3,15
447,28,13,5,25
448,31,8,3,15
449,29,1,3,15
450,31,6,3,15
451,1,2,2,10
452,4,5,3,15
453,3,10,1,8
454,2,14,1,5
455,6,6,2,12
456,2,10,1,5
457,24,9,1,3
458,2,4,1,5
459,29,1,3,15
460,31,6,3,15
461,28,2,5,25
462,24,1,1,3
463,23,4,5,20
464,27,1,4,18
465,29,11,3,15
466,2,14,1,5
467,29,13,3,15
468,24,13,1,3
469,31,9,3,15
470,2,10,1,5
471,3,7,1,8
472,30,5,3,15
473,4,10,3,15
474,6,11,2,12
475,5,4,2,7
476,24,8,1,3
477,4,9,3,15
478,4,14,3,15
479,1,9,2,10
480,24,5,1,3
481,3,4,1,8
482,5,6,2,7
483,31,1,3,15
484,24,13,1,3
485,24,8,1,3
486,5,2,2,7
487,30,8,3,15
488,6,13,2,12
489,3,9,1,8
490,24,13,1,3
491,30,7,3,15
492,4,6,3,15
493,24,10,1,3
494,3,4,1,8
495,4,9,3,15
496,29,11,3,15
497,3,13,1,8
498,5,14,2,7
499,31,13,3,15
500,31,9,3,15
501,24,6,1,3
502,29,5,3,15
503,28,11,5,25
504,31,8,3,15
505,29,2,3,15
506,30,9,3,15
507,30,8,3,15
508,3,4,1,8
509,28,1,5,25
510,28,4,5,25
511,2,10,1,5
512,27,13,4,18
513,30,9,3,15
514,2,8,1,5
515,30,10,3,15
516,27,6,4,18
517,4,11,3,15
518,6,1,2,12
519,6,14,2,12
520,27,2,4,18
521,27,1,4,18
522,23,7,5,20
523,27,9,4,18
524,28,9,5,25
525,6,2,2,12
526,28,5,5,25
527,2,2,1,5
528,30,8,3,15
529,30,14,3,15
530,4,4,3,15
531,5,7,2,7
532,6,1,2,12
533,23,1,5,20
534,27,5,4,18
535,24,6,1,3
536,31,6,3,15
537,6,6,2,12
538,4,4,3,15
539,3,10,1,8
540,31,2,3,15
541,6,14,2,12
542,28,10,5,25
543,4,11,3,15
544,5,2,2,7
545,4,14,3,15
546,24,7,1,3
547,6,14,2,12
548,2,10,1,5
549,24,2,1,3
550,29,2,3,15
551,2,14,1,5
552,27,4,4,18
553,1,4,2,10
554,28,7,5,25
555,31,14,3,15
556,24,11,1,3
557,6,2,2,12
558,1,4,2,10
559,3,9,1,8
560,3,5,1,8
561,24,2,1,3
562,31,8,3,15
563,23,1,5,20
564,23,2,5,20
565,23,2,5,20
566,2,2,1,5
567,23,10,5,20
568,27,2,4,18
569,27,10,4,18
570,1,7,2,10
571,1,10,2,10
572,2,13,1,5
573,28,7,5,25
574,5,13,2,7
575,24,1,1,3
576,30,4,3,15
577,31,11,3,15
578,1,8,2,10
579,24,10,1,3
580,28,5,5,25
581,1,7,2,10
582,29,13,3,15
583,31,10,3,15
584,6,1,2,12
585,29,9,3,15
586,29,7,3,15
587,23,9,5,20
588,27,11,4,18
589,6,13,2,12
590,3,11,1,8
591,3,4,1,8
592,24,10,1,3
593,6,7,2,12
594,28,14,5,25
595,28,14,5,25
596,4,5,3,15
597,28,2,5,25
598,3,10,1,8
599,24,8,1,3
600,4,9,3,15
601,28,8,5,25
602,28,4,5,25
603,3,7,1,8
604,2,8,1,5
605,2,6,1,5
606,6,9,2,12
607,5,8,2,7
608,31,14,3,15
609,5,8,2,7
610,1,5,2,10
611,4,14,3,15
612,6,1,2,12
613,4,5,3,15
614,31,1,3,15
615,28,7,5,25
616,1,10,2,10
617,4,13,3,15
618,29,13,3,15
619,31,14,3,15
620,1,11,2,10
621,3,6,1,8
622,2,6,1,5
623,4,8,3,15
624,30,10,3,15
625,29,9,3,15
626,2,4,1,5
627,23,1,5,20
628,31,1,3,15
629,2,1,1,5
630,4,14,3,15
631,27,8,4,18
632,4,9,3,15
633,24,5,1,3
634,6,11,2,12
635,31,6,3,15
636,30,13,3,15
637,23,4,5,20
638,31,13,3,15
639,24,13,1,3
640,23,13,5,20
641,30,4,3,15
642,29,1,3,15
643,1,10,2,10
644,28,5,5,25
645,6,2,2,12
646,28,8,5,25
647,27,6,4,18
648,5,11,2,7
649,6,11,2,12
650,5,9,2,7
651,28,9,5,25
652,27,5,4,18
653,28,8,5,25
654,5,4,2,7
655,27,2,4,18
656,6,9,2,12
657,31,5,3,15
658,23,13,5,20
659,4,10,3,15
660,29,13,3,15
661,28,7,5,25
662,24,9,1,3
663,24,6,1,3
664,4,14,3,15
665,31,13,3,15
666,3,8,1,8
667,6,10,2,12
668,2,11,1,5
669,3,2,1,8
670,28,5,5,25
671,6,11,2,12
672,6,5,2,12
673,2,6,1,5
674,29,14,3,15
675,28,14,5,25
676,27,5,4,18
677,1,13,2,10
678,27,11,4,18
679,27,10,4,18
680,30,14,3,15
681,6,6,2,12
682,23,11,5,20
683,5,8,2,7
684,31,6,3,15
685,5,2,2,7
686,1,11,2,10
687,3,5,1,8
688,3,4,1,8
689,2,7,1,5
690,4,10,3,15
691,30,4,3,15
692,6,5,2,12
693,2,9,1,5
694,27,9,4,18
695,1,9,2,10
696,30,14,3,15
697,1,1,2,10
698,28,5,5,25
699,3,9,1,8
700,2,6,1,5
701,31,10,3,15
702,1,11,2,10
703,1,2,2,10
704,5,2,2,7
705,27,1,4,18
706,4,14,3,15
707,3,4,1,8
708,28,5,5,25
709,5,2,2,7
710,1,14,2,10
711,30,8,3,15
712,23,5,5,20
713,28,13,5,25
714,5,6,2,7
715,5,6,2,7
716,2,10,1,5
717,1,13,2,10
718,3,5,1,8
719,5,4,2,7
720,31,5,3,15
721,30,8,3,15
722,27,14,4,18
723,28,7,5,25
724,31,2,3,15
725,30,7,3,15
726,23,1,5,20
727,27,8,4,18
728,4,2,3,15
729,30,7,3,15
730,2,5,1,5
731,29,6,3,15
732,31,7,3,15
733,23,10,5,20
734,5,5,2,7
735,2,9,1,5
736,30,10,3,15
737,2,1,1,5
738,30,2,3,15
739,6,1,2,12
740,4,7,3,15
741,23,5,5,20
742,29,8,3,15
743,24,13,1,3
744,24,2,1,3
745,1,1,2,10
746,24,6,1,3
747,30,8,3,15
748,29,11,3,15
749,31,14,3,15
750,5,14,2,7
751,3,14,1,8
752,3,11,1,8
753,2,4,1,5
754,31,10,3,15
755,5,11,2,7
756,5,5,2,7
757,3,2,1,8
758,24,6,1,3
759,31,8,3,15
760,4,4,3,15
761,23,11,5,20
762,30,13,3,15
763,5,2,2,7
764,5,10,2,7
765,23,10,5,20
766,31,14,3,15
767,27,5,4,18
768,1,10,2,10
769,3,10,1,8
770,28,1,5,25
771,1,2,2,10
772,2,1,1,5
773,3,6,1,8
774,27,8,4,18
775,23,10,5,20
776,6,11,2,12
777,3,2,1,8
778,30,13,3,15
779,6,1,2,12
780,3,13,1,8
781,6,7,2,12
782,6,6,2,12
783,1,11,2,10
784,27,11,4,18
785,27,5,4,18
786,30,13,3,15
787,27,11,4,18
788,5,14,2,7
789,29,4,3,15
790,27,14,4,18
791,3,11,1,8
792,29,11,3,15
793,5,5,2,7
794,23,1,5,20
795,27,11,4,18
796,24,5,1,3
797,2,6,1,5
798,4,1,3,15
799,6,4,2,12
800,24,11,1,3
801,29,6,3,15
802,4,8,3,15
803,6,6,2,12
804,5,7,2,7
805,5,6,2,7
806,3,1,1,8
807,23,10,5,20
808,27,14,4,18
809,1,4,2,10
810,5,10,2,7
811,27,10,4,18
812,27,1,4,18
813,27,8,4,18
814,4,4,3,15
815,2,11,1,5
816,3,11,1,8
817,1,2,2,10
818,3,7,1,8
819,6,4,2,12
820,3,13,1,8
821,6,10,2,12
822,4,2,3,15
823,4,11,3,15
824,3,7,1,8
825,23,14,5,20
826,4,14,3,15
827,29,8,3,15
828,27,9,4,18
829,5,6,2,7
830,6,13,2,12
831,24,5,1,3
832,31,7,3,15
833,1,10,2,10
834,29,1,3,15
835,1,6,2,10
836,29,1,3,15
837,31,14,3,15
838,6,13,2,12
839,5,14,2,7
840,24,2,1,3
841,3,2,1,8
842,4,1,3,15
843,2,11,1,5
844,29,11,3,15
845,3,4,1,8
846,3,13,1,8
847,2,5,1,5
848,30,5,3,15
849,29,11,3,15
850,4,4,3,15
851,29,11,3,15
852,5,1,2,7
853,27,2,4,18
854,23,4,5,20
855,2,7,1,5
856,24,4,1,3
857,29,11,3,15
858,31,2,3,15
859,1,11,2,10
860,28,8,5,25
861,23,7,5,20
862,28,5,5,25
863,2,11,1,5
864,23,2,5,20
865,23,5,5,20
866,24,2,1,3
867,5,2,2,7
868,24,10,1,3
869,29,2,3,15
870,24,10,1,3
871,30,9,3,15
872,1,10,2,10
873,24,13,1,3
874,6,6,2,12
875,31,8,3,15
876,29,9,3,15
877,2,4,1,5
878,24,4,1,3
879,2,7,1,5
880,28,10,5,25
881,24,5,1,3
882,3,2,1,8
883,1,14,2,10
884,28,4,5,25
885,1,10,2,10
886,27,8,4,18
887,2,6,1,5
888,28,13,5,25
889,4,1,3,15
890,28,9,5,25
891,2,14,1,5
892,31,8,3,15
893,24,8,1,3
894,6,13,2,12
895,6,5,2,12
896,23,7,5,20
897,28,14,5,25
898,27,13,4,18
899,30,10,3,15
900,27,11,4,18
901,27,10,4,18
902,2,1,1,5
903,6,5,2,12
904,30,13,3,15
905,31,5,3,15
906,28,13,5,25
907,1,7,2,10
908,30,8,3,15
909,30,13,3,15
910,1,2,2,10
911,3,13,1,8
912,24,5,1,3
913,30,10,3,15
914,3,6,1,8
915,5,2,2,7
916,28,14,5,25
917,28,5,5,25
918,6,7,2,12
919,23,7,5,20
920,5,11,2,7
921,27,11,4,18
922,6,2,2,12
923,4,14,3,15
924,31,14,3,15
925,4,2,3,15
926,29,1,3,15
927,6,14,2,12
928,27,5,4,18
929,30,8,3,15
930,28,10,5,25
931,30,1,3,15
932,28,14,5,25
933,31,9,3,15
934,27,5,4,18
935,30,13,3,15
936,3,7,1,8
937,1,6,2,10
938,5,14,2,7
939,24,8,1,3
940,1,10,2,10
941,23,11,5,20
942,30,7,3,15
943,24,4,1,3
944,24,10,1,3
945,23,14,5,20
946,23,14,5,20
947,31,6,3,15
948,1,10,2,10
949,5,14,2,7
950,5,13,2,7
951,31,14,3,15
952,23,1,5,20
953,24,10,1,3
954,27,2,4,18
955,3,13,1,8
956,5,1,2,7
957,27,14,4,18
958,29,8,3,15
959,3,14,1,8
960,6,8,2,12
961,28,1,5,25
962,28,1,5,25
963,23,7,5,20
964,29,13,3,15
965,28,4,5,25
966,24,2,1,3
967,24,7,1,3
968,30,5,3,15
969,5,7,2,7
970,31,11,3,15
971,30,11,3,15
972,30,9,3,15
973,31,1,3,15
974,24,5,1,3
975,29,4,3,15
976,4,4,3,15
977,6,14,2,12
978,28,8,5,25
979,6,5,2,12
980,6,10,2,12
981,1,6,2,10
982,23,9,5,20
983,29,2,3,15
984,24,4,1,3
985,28,13,5,25
986,5,4,2,7
987,5,5,2,7
988,23,5,5,20
989,4,6,3,15
990,3,8,1,8
991,4,2,3,15
992,23,8,5,20
993,30,2,3,15
994,4,6,3,15
995,28,9,5,25
996,2,6,1,5
997,3,6,1,8
998,23,10,5,20
999,23,13,5,20
1000,23,14,5,20
